Company,Role,Link
AAC Clyde Space,Systems Engineer – Delft,https://www.aac-clyde.space/jobs/systems-engineer-delft
AAC Clyde Space,Systems Engineer – Glasgow,https://www.aac-clyde.space/jobs/systems-engineer-glasgow
Astroscale,"Space Systems Engineer France, Toulouse",https://astroscale.bamboohr.com/careers/593
Astroscale,"Ground Segment Systems Engineer Oxfordshire UK, Didcot",https://astroscale.bamboohr.com/careers/590
ClearSpace,"Senior Systems Engineer London , Royaume-Uni",https://clearspace.odoo.com/fr/jobs/senior-systems-engineer-105
Open Cosmos,Data Customer Success Manager,https://careers.open-cosmos.com/jobs/6828587-data-customer-success-manager
Open Cosmos,Senior Systems Engineer - Harwell - Oxfordshire.,https://careers.open-cosmos.com/jobs/6607533-senior-systems-engineer-harwell-oxfordshire
Open Cosmos,Senior Systems Engineer - Barcelona - Spain,https://careers.open-cosmos.com/jobs/6607456-senior-systems-engineer-barcelona-spain
Open Cosmos,Senior Systems Engineer - Porto - Portugal,https://careers.open-cosmos.com/jobs/6607409-senior-systems-engineer-porto-portugal
NanoAvionics,Marketing & Business Development 2 positions,https://nanoavionics.com/our-careers/jobs?department=72
NanoAvionics,Engineering Operations 3 positions Marketing & Business Development 2 positions Mechanical Engineering 1 positions Open…,https://nanoavionics.com/our-careers/jobs?department=139
ThrustMe,Technical Sales Engineer (M/F) Sales & Marketing · Our office,https://careers.thrustme.fr/jobs/6256912-technical-sales-engineer-m-f
Constellr,Business Development Manager - Earth Observation & Industrial Partnerships,https://constellr.recruitee.com/o/business-development-manager-earth-observation-industrial-partnerships
Constellr,MBSE Lead Engineer (Model-Based Systems Engineering),https://constellr.recruitee.com/o/mbse-lead-engineer-model-based-systems-engineering
Reflex Aerospace,"Space Mission Manager Permanent employee, Full-time Â· Berlin Â· Berlin",https://reflex-aerospace-gmbh.jobs.personio.de/job/2127828?language=en
Reflex Aerospace,"Systems Engineer for Mission Operations (all genders) Permanent employee, Full-time Â· Berlin Â· Berlin",https://reflex-aerospace-gmbh.jobs.personio.de/job/2185717?language=en
